MP-ID,Pretty Formula,Band gap,Energy above Hull,Composition,F-Block,Noble-Gas,Gravimetric Capacity,Unfit elements,Gaseous Compounds,ICSD_IDS,Experimental ICSD ID,Space Group Symbol,Crystal System
mp-774388,V4(OF3)3,1.2841,0.001081115,V4 O3 F9,0,0,380.366800990648,0,0,[],1,P1,triclinic
mp-774394,Fe10O11F9,0,0.095648383916667,Fe10 O11 F9,0,0,177.595366268646,0,0,[],1,Pm,monoclinic
mp-775262,Fe5O3F7,0.786,0.087932932333323,Fe5 O3 F7,0,0,349.404170628638,0,0,[],1,P1,triclinic
mp-775389,Fe10O19F,0,0.14391251647222,Fe10 O19 F1,0,0,182.429373189719,0,0,[],1,P1,triclinic
mp-776017,LiFeF3,3.2909,0.050629519499998,Li1 Fe1 F3,0,0,1342.44762210182,0,0,[],1,Pbcn,orthorhombic
mp-776098,Li3MnF6,1.5801,0.077594222249999,Li3 Mn1 F6,0,0,847.424290916223,0,0,[],1,P2_1/c,monoclinic
mp-776105,Li2Mn3F8,3.4296,0.091547922307692,Li2 Mn3 F8,0,0,486.265773119762,0,0,[],1,Pmn2_1,orthorhombic
mp-776389,LiV2OF5,1.8353,0.064471958240735,Li1 V2 O1 F5,0,0,731.522851882236,0,0,[],1,P3_2,trigonal
mp-776446,Li2MnVP2(O4F)2,0.6726,0.023818766354166,Li2 Mn1 V1 P2 O8 F2,0,0,462.466214161154,0,0,[],1,P-1,triclinic
mp-776488,LiMnOF2,0.9443,0.022914620249998,Li1 Mn1 O1 F2,0,0,1387.69925464861,0,0,[],1,C2/c,monoclinic
mp-776537,V3OF11,1.5278,0.040246973833344,V3 O1 F11,0,0,425.614885242401,0,0,[],1,P1,triclinic
mp-776588,Li2MnVP2(O4F)2,0.1065,0.028394085520833,Li2 Mn1 V1 P2 O8 F2,0,0,462.466214161154,0,0,[],1,P1,triclinic
mp-776684,Li3FeF6,4.07,0.005738033083333,Li3 Fe1 F6,0,0,843.393125122481,0,0,[],1,Pna2_1,orthorhombic
mp-776762,LiVF5,0.9032,0.017446791964276,Li1 V1 F5,0,0,1051.843068468,0,0,[],1,I4_1/a,tetragonal
mp-776770,LiFeF5,0.4247,0.051879558273813,Li1 Fe1 F5,0,0,1019.15339079939,0,0,[],1,I4_1/a,tetragonal
mp-777298,LiMnF3,3.6266,0.03779906025,Li1 Mn1 F3,0,0,1352.68986998973,0,0,[],1,Pbcn,orthorhombic
mp-777337,VOF2,0.0293,0.006791014791719,V1 O1 F2,0,0,1532.33766504354,0,0,[],1,P1,triclinic
mp-777342,V4(OF3)3,1.3502,0.00130634125,V4 O3 F9,0,0,380.366800990648,0,0,[],1,P1,triclinic
mp-777382,Ni3OF5,0.353,0.074118867685187,Ni3 O1 F5,0,0,560.138972429793,1,0,[],1,P-1,triclinic
mp-777412,Li2VO2F,1.4824,0.048113743749996,Li2 V1 O2 F1,0,0,1388.35282084525,0,0,[],1,P2_1/m,monoclinic
mp-777444,Li3Fe2F7,3.4993,0.045186147916666,Li3 Fe2 F7,0,0,605.645560344749,0,0,[],1,C2/c,monoclinic
mp-777448,Li2VF4,2.6698,0.036420782857142,Li2 V1 F4,0,0,1141.90666746862,0,0,[],1,P2/c,monoclinic
mp-777457,Li2FeF4,3.5786,0.053650405178571,Li2 Fe1 F4,0,0,1103.48149729988,0,0,[],1,P2_1/c,monoclinic
mp-777489,LiFeF3,3.0799,0.092448486666665,Li1 Fe1 F3,0,0,1342.44762210182,0,0,[],1,R-3,trigonal
mp-777521,Li11V6O5F19,0.5945,0.082856780701201,Li11 V6 O5 F19,0,0,195.390661200889,0,0,[],1,P1,triclinic
mp-777528,Li3VF6,2.4775,0.0521212335,Li3 V1 F6,0,0,865.656751877826,0,0,[],1,R-3,trigonal
mp-777544,Co2OF3,0.7,0.075345979027778,Co2 O1 F3,0,0,842.497945295263,1,0,[],1,Amm2,orthorhombic
mp-777588,Li2FeF4,3.478,0.103167737142856,Li2 Fe1 F4,0,0,1103.48149729988,0,0,[],1,Cmcm,orthorhombic
mp-777609,LiMnF5,2.1629,0.065580028630957,Li1 Mn1 F5,0,0,1025.0456583576,0,0,[],1,P2_1/c,monoclinic
mp-777655,LiMnF3,3.296,0.0585122785,Li1 Mn1 F3,0,0,1352.68986998973,0,0,[],1,C2/m,monoclinic
mp-777672,LiFeF3,3.0807,0.069146599999998,Li1 Fe1 F3,0,0,1342.44762210182,0,0,[],1,Amm2,orthorhombic
mp-777673,Li2FeF4,3.6435,0.088064229285713,Li2 Fe1 F4,0,0,1103.48149729988,0,0,[],1,P2_1/c,monoclinic
